Team,AB,BB,SO,PA,K%
Arizona Diamondbacks,944,78,222,1022,0.2172211350293542
Atlanta Braves,758,64,178,822,0.21654501216545013
Baltimore Orioles,966,109,240,1075,0.22325581395348837
Boston Red Sox,931,103,231,1034,0.22340425531914893
Chicago Cubs,1011,101,274,1112,0.24640287769784172
Chicago White Sox,866,66,225,932,0.24141630901287553
Cincinnati Reds,919,87,241,1006,0.23956262425447317
Cleveland Guardians,1058,88,210,1146,0.18324607329842932
Colorado Rockies,1019,74,293,1093,0.26806953339432754
Detroit Tigers,825,80,201,905,0.22209944751381216
Houston Astros,1006,89,199,1095,0.1817351598173516
Kansas City Royals,940,74,252,1014,0.2485207100591716
Los Angeles Angels,881,94,233,975,0.23897435897435898
Los Angeles Dodgers,947,122,251,1069,0.23479887745556596
Miami Marlins,740,54,164,794,0.20654911838790932
Milwaukee Brewers,839,86,252,925,0.2724324324324324
Minnesota Twins,849,76,249,925,0.2691891891891892
New York Mets,1062,100,256,1162,0.22030981067125646
New York Yankees,694,82,174,776,0.22422680412371135
Oakland Athletics,947,84,244,1031,0.23666343355965083
Philadelphia Phillies,1057,80,297,1137,0.2612137203166227
Pittsburgh Pirates,1056,112,279,1168,0.23886986301369864
San Diego Padres,1034,113,257,1147,0.22406277244986922
San Francisco Giants,1072,82,295,1154,0.255632582322357
Seattle Mariners,846,74,247,920,0.2684782608695652
St. Louis Cardinals,854,86,227,940,0.24148936170212765
Tampa Bay Rays,681,54,173,735,0.23537414965986395
Texas Rangers,923,98,218,1021,0.21351616062683643
Toronto Blue Jays,718,83,156,801,0.1947565543071161
Washington Nationals,1173,95,243,1268,0.1916403785488959
