Name,Team,GS,IP,TBF,K%,PlayerId,MLBAMID
"Guillermo Zuñiga","STL",0,1,3,0.66666667,19588,670871
"Justin Wilson","CIN",0,3.2,13,0.53846154,4301,458677
"Edwin Díaz","NYM",0,62,235,0.50212766,14710,621242
"Ryder Ryan","SEA",0,1,4,0.5,19891,656924
"Alek Jacob","SDP",0,3,10,0.5,29628,689690
"Locke St. John","CHC",0,2,9,0.44444444,16850,657766
"Jacob deGrom","- - -",17,94.2,354,0.41525424,10954,594798
"Félix Bautista","BAL",0,123,479,0.4091858,20666,642585
"Geoff Hartlieb","MIA",0,1,5,0.4,19558,664129
"Devin Williams","MIL",0,107,423,0.39243499,15816,642207
"Angel Perdomo","PIT",0,28.1,111,0.38738739,17759,622780
"Spencer Strider","ATL",44,271,1100,0.38090909,27498,675911
"Josh Hader","- - -",0,91.2,384,0.375,14212,623352
"Alex Wells","BAL",0,3.2,16,0.375,19845,649144
"José Alvarado","PHI",0,77,321,0.37383178,17780,621237
"Ryan Helsley","STL",0,89.2,342,0.37134503,18138,664854
"Aroldis Chapman","- - -",0,80.2,342,0.36842105,10233,547973
"Andrés Muñoz","SEA",0,97.1,386,0.3626943,20373,662253
"Pete Fairbanks","TBR",0,51.2,199,0.36180905,17998,664126
"James Karinchak","CLE",0,66.2,278,0.35971223,20151,675916
"Brock Stewart","MIN",0,25.2,99,0.35353535,16727,592779
"Sean Doolittle","WSN",0,5.1,17,0.35294118,1581,448281
"Blake Treinen","LAD",0,5,17,0.35294118,12572,595014
"Bryan Abreu","HOU",0,116.1,479,0.35281837,16609,650556
"Tyler Glasnow","TBR",15,81.1,327,0.34556575,14374,607192
"Liam Hendriks","CHW",0,62.2,255,0.34509804,3548,521230
"Fernando Cruz","CIN",2,62.2,268,0.3358209,7048,518585
"Josh Sborz","TEX",1,67,275,0.33454545,18323,622250
"Ken Giles","SEA",0,4.1,18,0.33333333,12910,571704
"Franmil Reyes","CHC",0,1,3,0.33333333,14566,614177
"Jake Walsh","STL",0,2.2,15,0.33333333,20227,673904
"Alex Speas","TEX",0,2,12,0.33333333,21859,666208
"Edgar Navarro","CHW",0,3,15,0.33333333,24363,679346
"Alexis Díaz","CIN",0,116.1,469,0.3326226,21132,664747
"Alex Vesia","LAD",1,88,383,0.33159269,25007,681911
"Tanner Scott","MIA",0,118.2,516,0.33139535,17586,656945
"Jhoan Duran","MIN",0,114.1,459,0.33115468,21029,661395
"A.J. Minter","ATL",0,118,461,0.329718,18655,621345
"DL Hall","BAL",1,16.2,79,0.32911392,22207,669084
"Garrett Cleavinger","- - -",0,35,140,0.32857143,17897,664076
"José Soriano","LAA",0,27,122,0.32786885,22100,667755
"Trevor Richards","TOR",7,118.1,506,0.32608696,19309,670950
"Matt Brash","SEA",5,101.2,448,0.32589286,25756,666374
"Luke Jackson","SFG",0,18,77,0.32467532,11752,592426
"Shohei Ohtani","LAA",50,296.2,1186,0.3237774,19755,660271
"Joe Kelly","- - -",1,69.2,312,0.32371795,9761,523260
"Caleb Thielbar","MIN",0,76,306,0.32352941,10078,573204
"Paul Sewald","- - -",0,111,431,0.32018561,13892,623149
"Zach Jackson","OAK",0,66,282,0.31914894,19493,667427
"Darren McCaughan","SEA",0,4,22,0.31818182,20038,670766
"Carlos Vargas","ARI",0,4.2,22,0.31818182,22915,672841
"Joe Jiménez","- - -",0,99.2,412,0.31796117,15761,641729
"Evan Phillips","LAD",0,108,401,0.31670823,17734,623465
"Raisel Iglesias","- - -",0,98.2,398,0.31658291,17130,628452
"Blake Snell","SDP",48,258,1081,0.31637373,13543,605483
"Pierce Johnson","- - -",0,62.2,288,0.31597222,13435,572955
"Bryce Montes de Oca","NYM",0,3.1,19,0.31578947,21319,656755
"Daniel Hudson","LAD",0,27.1,111,0.31531532,7146,543339
"Carlos Rodón","- - -",37,205,832,0.31490385,16137,607074
"Andrew Bellatti","PHI",1,70.1,303,0.31353135,10657,571479
"Josh Taylor","KCR",1,17.2,83,0.31325301,17359,657031
"Cam Vieaux","PIT",0,8.2,48,0.3125,19529,664944
"Kenley Jansen","- - -",0,104.1,426,0.31220657,3096,445276
"Erik Swanson","- - -",1,108,420,0.31190476,16587,657024
"Ryan Pressly","HOU",0,100.2,388,0.31185567,7005,519151
"Andrew Nardi","MIA",0,55.1,247,0.31174089,25942,677053
"David Bednar","PIT",0,101.1,414,0.3115942,19569,670280
"Hunter Greene","CIN",38,199,849,0.31095406,22182,668881
"Zack Weiss","LAA",0,18.2,81,0.30864198,15444,592848
"Michael Feliz","BOS",0,3.1,13,0.30769231,11903,593140
"Brandon Woodruff","MIL",31,176,705,0.30638298,16162,605540
"Tommy Kahnle","- - -",0,40,157,0.30573248,11384,592454
"Michael King","NYY",1,112.1,458,0.30567686,19853,650633
"Craig Kimbrel","- - -",0,111,462,0.30519481,6655,518886
"Jason Adam","TBR",0,111.1,436,0.30504587,11861,592094
"Anthony Gose","CLE",0,21,92,0.30434783,5097,543238
"Allan Winans","ATL",2,11.1,46,0.30434783,21238,642216
"Camilo Doval","SFG",0,121,501,0.30339321,21992,666808
"Steven Okert","MIA",1,96.1,400,0.3025,13580,595345
"Taylor Rogers","- - -",0,105.2,443,0.30248307,13449,573124
"Kevin Gausman","TOR",54,313.2,1288,0.30124224,14107,592332
"Shelby Miller","- - -",0,37,150,0.3,10197,571946
"Daysbel Hernández","ATL",0,3.2,20,0.3,20271,678226
"Taj Bradley","TBR",16,74.2,330,0.3,22543,671737
"Gerrit Cole","NYY",58,357,1416,0.29872881,13125,543037
"Alex Lange","DET",0,109.1,477,0.29769392,19883,656638
"Adbert Alzolay","CHC",0,67,259,0.2972973,17859,640470
"Jeremy Beasley","TOR",0,15,64,0.296875,20205,676886
