Name,Handedness,Team,Opponent,Date,RGID
Spencer Strider,R,ATL,NYM,5/1/23,
Denyi Reyes,R,NYM,ATL,5/1/23,
Charlie Morton,R,ATL,NYM,5/1/23,
Tylor Megill,R,NYM,ATL,5/1/23,
Cal Quantrill,R,CLE,NYY,5/1/23,
Domingo German,R,NYY,CLE,5/1/23,
Drew Smyly,L,CHC,WAS,5/1/23,
MacKenzie Gore,L,WAS,CHC,5/1/23,
Jose Berrios,R,TOR,BOS,5/1/23,
Corey Kluber,R,BOS,TOR,5/1/23,
Ross Stripling,R,SFG,HOU,5/1/23,
Luis Garcia,R,HOU,SFG,5/1/23,
Luke Weaver,R,CIN,SDP,5/1/23,
Blake Snell,L,SDP,CIN,5/1/23,
Taijuan Walker,R,PHI,LAD,5/1/23,
Tony Gonsolin,R,LAD,PHI,5/1/23,
Bryce Elder,R,ATL,MIA,5/2/23,
Sandy Alcantara,R,MIA,ATL,5/2/23,
Roansy Contreras,R,PIT,TBR,5/2/23,
Javy Guerra,R,TBR,PIT,5/2/23,
Josh Fleming,L,NYM,DET,5/2/23,
Joey Lucchesi,L,DET,NYM,5/2/23,
Michael Lorenzen,R,CHC,WAS,5/2/23,
Hayden Wesneski,R,WAS,CHC,5/2/23,
Trevor Williams,R,CLE,NYY,5/2/23,
Tanner Bibee,R,NYY,CLE,5/2/23,
Gerrit Cole,R,TOR,BOS,5/2/23,
Yusei Kikuchi,L,BOS,TOR,5/2/23,
Tanner Houck,R,MIN,CHW,5/2/23,
Joe Ryan,R,CHW,MIN,5/2/23,
Michael Kopech,R,BAL,KCR,5/2/23,
Tyler Wells,R,KCR,BAL,5/2/23,
Ryan Yarbrough,L,LAA,STL,5/2/23,
Patrick Sandoval,L,STL,LAA,5/2/23,
Steven Matz,L,ARI,TEX,5/2/23,
Zac Gallen,R,TEX,ARI,5/2/23,
Jon Gray,R,SFG,HOU,5/2/23,
Anthony DeSclafani,R,HOU,SFG,5/2/23,
Hunter Brown,R,MIL,COL,5/2/23,
Freddy Peralta,R,COL,MIL,5/2/23,
Ryan Feltner,R,SEA,OAK,5/2/23,
Bryce Miller,R,OAK,SEA,5/2/23,
Mason Miller,R,CIN,SDP,5/2/23,
Graham Ashcraft,R,SDP,CIN,5/2/23,
Michael Wacha,R,PHI,LAD,5/2/23,
Matt Strahm,L,LAD,PHI,5/2/23,
Joey Lucchesi,L,NYM,DET,5/3/23,
Joey Wentz,L,DET,NYM,5/3/23,
Brandon Pfaadt,R,ARI,TEX,5/3/23,
Andrew Heaney,L,TEX,ARI,5/3/23,
Logan Webb,R,SFG,HOU,5/3/23,
Framber Valdez,L,HOU,SFG,5/3/23,
Aaron Nola,R,PHI,LAD,5/3/23,
Gavin Stone,R,LAD,PHI,5/3/23,
Luis Cessa,R,CIN,SDP,5/3/23,
Seth Lugo,R,SDP,CIN,5/3/23,
Mitch Keller,R,PIT,TBR,5/3/23,
Shane McClanahan,L,TBR,PIT,5/3/23,
Max Scherzer,R,NYM,DET,5/3/23,
Michael Lorenzen,R,DET,NYM,5/3/23,
Kyle Wright,R,ATL,MIA,5/3/23,
Braxton Garrett,L,MIA,ATL,5/3/23,
