Name,Handedness,Team,Opponent,Date,RGID,mlbid
Johnny Cueto,R,MIA,WAS,2023-09-02,11193,
Trevor Williams,R,WAS,MIA,2023-09-02,35715,592866
Griffin Canning,R,LAA,OAK,2023-09-02,980775,656288
Paul Blackburn,R,OAK,LAA,2023-09-02,36242,621112
Zack Littell,R,TBR,CLE,2023-09-02,38002,641793
Logan Allen,L,CLE,TBR,2023-09-02,4652998,671106
Javier Assad,R,CHC,CIN,2023-09-02,3734395,665871
Andrew Abbott,L,CIN,CHC,2023-09-02,4793713,671096
Reese Olson,R,DET,CHW,2023-09-02,4266773,681857
Mike Clevinger,R,CHW,DET,2023-09-02,34646,605182
Luis Severino,R,NYY,HOU,2023-09-02,21546,622663
Hunter Brown,R,HOU,NYY,2023-09-02,3776186,686613
Tanner Houck,R,BOS,KCR,2023-09-02,2044741,656557
Alec Marsh,R,KCR,BOS,2023-09-02,2219497,679525
Luis Castillo,R,SEA,NYM,2023-09-02,15729,622491
David Peterson,L,NYM,SEA,2023-09-02,2039813,656849
Thomas Hatch,R,PIT,STL,2023-09-02,1454829,641672
Drew Rom,L,STL,PIT,2023-09-02,4266449,680723
Dallas Keuchel,L,MIN,TEX,2023-09-02,13490,572971
Jordan Montgomery,L,TEX,MIN,2023-09-02,36606,656756
Aaron Nola,R,PHI,MIL,2023-09-02,21538,605400
Colin Rea,R,MIL,PHI,2023-09-02,21810,607067
Yusei Kikuchi,L,TOR,COL,2023-09-02,814189,579328
Ty Blach,L,COL,TOR,2023-09-02,34696,621389
Kyle Bradish,R,BAL,ARI,2023-09-02,2106116,680694
Slade Cecconi,R,ARI,BAL,2023-09-02,5044184,677944
Kyle Harrison,L,SFG,SDP,2023-09-02,5133985,690986
Blake Snell,L,SDP,SFG,2023-09-02,22658,605483
Bryce Elder,R,ATL,LAD,2023-09-02,3456890,693821
Emmet Sheehan,R,LAD,ATL,2023-09-02,4843650,
