Name,Unnamed: 1,Unnamed: 2,Age,Lev,Tm, ,Opp,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,Date
Nathan Eovaldi,gl,box,33,Maj-AL,Texas,,New York,1,1.0,,,9.0,3,0,0,0,8,0,0,89,28,0,0,0,1,0,0,0,0,29,113,69%,18%,12%,67%,10%,5%,2023-04-29
Kevin Gausman,gl,box,32,Maj-AL,Toronto,,Seattle,1,,,,7.0,6,0,0,1,13,0,0,77,26,0,0,0,0,0,1,0,1,27,108,69%,15%,25%,46%,23%,0%,2023-04-29
Easton McGee,gl,box,25,Maj-AL,Seattle,@,Toronto,1,,,,6.2,1,0,0,1,2,0,0,73,21,1,0,0,0,0,0,0,0,22,64,70%,16%,8%,47%,21%,5%,2023-04-29
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Detroit,1,1.0,,,5.0,2,0,0,1,9,0,0,71,17,1,0,0,0,0,0,0,0,18,91,65%,20%,14%,50%,25%,13%,2023-04-29
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Kansas City,1,,,,5.2,4,1,1,2,6,0,0,61,21,1,0,0,0,0,1,0,0,23,88,63%,17%,13%,13%,33%,20%,2023-04-29
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Baltimore,1,1.0,,,5.2,4,1,1,2,5,1,0,60,20,2,0,0,1,0,0,0,0,22,98,63%,18%,5%,47%,13%,0%,2023-04-29
Lance Lynn,gl,box,36,Maj-AL,Chicago,,Tampa Bay,1,,1.0,,6.1,3,4,4,2,10,1,0,59,22,1,0,0,0,0,0,0,0,24,103,65%,15%,17%,33%,33%,8%,2023-04-29
Brayan Bello,gl,box,24,Maj-AL,Boston,,Cleveland,1,,,,5.0,5,1,1,2,6,1,0,57,18,0,0,0,1,0,1,1,0,20,84,56%,12%,10%,58%,25%,0%,2023-04-29
Jhony Brito,gl,box,25,Maj-AL,New York,@,Texas,1,,1.0,,5.0,4,2,2,1,5,1,0,55,19,1,0,0,0,0,1,0,0,20,59,73%,27%,10%,43%,21%,0%,2023-04-29
Kyle Muller,gl,box,25,Maj-AL,Oakland,,Cincinnati,1,,,,5.0,5,1,1,2,3,1,0,54,17,1,0,0,0,0,0,1,1,19,80,59%,18%,8%,29%,36%,7%,2023-04-29
Brad Keller,gl,box,27,Maj-AL,Kansas City,@,Minnesota,1,,,,5.1,6,1,1,5,4,0,0,51,20,1,0,0,1,0,0,0,0,25,92,53%,15%,9%,63%,19%,6%,2023-04-29
Cristian Javier,gl,box,26,Maj-AL,Houston,,Philadelphia,1,,1.0,,5.2,7,3,3,1,6,1,0,48,23,5,0,0,0,1,1,0,0,25,97,68%,14%,10%,17%,44%,6%,2023-04-29
