name,over,under,prop_k,commence_time
Aaron Civale,-138,108,5.5,2023-08-23 18:40:00
Alex Cobb,-110,-116,4.5,2023-08-23 16:05:00
Andrew Abbott,-118,-108,5.5,2023-08-23 16:07:00
Austin Gomber,122,-156,4.5,2023-08-23 18:40:00
Charlie Morton,104,-132,6.5,2023-08-23 19:20:00
Chris Sale,-118,-108,5.5,2023-08-23 20:10:00
Clayton Kershaw,-112,-112,4.5,2023-08-23 19:10:00
Corbin Burnes,108,-138,8.5,2023-08-23 14:10:00
George Kirby,-104,-122,5.5,2023-08-23 14:10:00
Jack Flaherty,-136,108,5.5,2023-08-23 19:05:00
Jameson Taillon,108,-138,5.5,2023-08-23 13:10:00
Jose Quintana,112,-144,4.5,2023-08-23 19:20:00
Jose Urquidy,122,-156,5.5,2023-08-23 20:10:00
Kenta Maeda,-112,-112,5.5,2023-08-23 14:10:00
Kevin Gausman,-104,-122,6.5,2023-08-23 19:05:00
Luis Ortiz,-136,108,3.5,2023-08-23 12:35:00
Luis Severino,128,-164,5.5,2023-08-23 19:05:00
MacKenzie Gore,-134,104,5.5,2023-08-23 19:05:00
Michael Kopech,106,-134,5.5,2023-08-23 14:10:00
Michael Lorenzen,-136,108,4.5,2023-08-23 16:05:00
Sandy Alcantara,-142,112,5.5,2023-08-23 16:10:00
Seth Lugo,-122,-106,5.5,2023-08-23 16:10:00
Tarik Skubal,114,-144,6.5,2023-08-23 13:10:00
Xzavion Curry,-118,-108,3.5,2023-08-23 19:10:00
Zack Thompson,120,-152,5.5,2023-08-23 12:35:00
