,Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time,SO,IP,win,wager_return
2,Connor Seabold,R,COL,PIT,5.16,3.5,-126.0,0.558,0.757,0.1989999999999999,-102.0,0.505,0.243,-0.262,1,0,2023-05-09 18:35:00,3,5.0,False,-100.0
4,Zach Eflin,R,TBR,BAL,5.15,4.5,116.0,0.463,0.585,0.1219999999999999,-148.0,0.597,0.415,-0.182,1,0,2023-05-09 18:35:00,4,6.0,False,-100.0
5,Grayson Rodriguez,R,BAL,TBR,6.04,5.5,100.0,0.5,0.56,0.06,-128.0,0.561,0.44,-0.121,1,0,2023-05-09 18:35:00,4,5.2,False,-100.0
6,Luke Weaver,R,CIN,NYM,12.85,4.5,-106.0,0.515,0.973,0.4579999999999999,-118.0,0.541,0.004,-0.537,1,0,2023-05-09 18:40:00,2,6.0,False,-100.0
7,Alek Manoah,R,TOR,PHI,5.82,5.5,114.0,0.467,0.525,0.0579999999999999,-146.0,0.593,0.475,-0.118,1,0,2023-05-09 18:40:00,1,4.2,False,-100.0
8,Aaron Nola,R,PHI,TOR,6.23,5.5,-132.0,0.569,0.59,0.021,104.0,0.49,0.41,-0.08,1,0,2023-05-09 18:40:00,6,6.0,True,75.76
10,Clarke Schmidt,R,NYY,OAK,9.88,6.5,-106.0,0.515,0.861,0.346,-122.0,0.55,0.138,-0.412,1,0,2023-05-09 19:05:00,7,6.0,True,94.34
11,Nick Pivetta,R,BOS,ATL,5.6,4.5,-154.0,0.606,0.657,0.051,120.0,0.455,0.343,-0.1119999999999999,1,0,2023-05-09 19:20:00,2,4.0,False,-100.0
13,Lucas Giolito,R,CHW,KCR,6.06,5.5,-112.0,0.528,0.564,0.0359999999999999,-116.0,0.537,0.436,-0.101,1,0,2023-05-09 19:40:00,9,6.0,True,89.29
14,Jordan Lyles,R,KCR,CHW,4.38,3.5,-104.0,0.51,0.638,0.128,-122.0,0.55,0.362,-0.188,1,0,2023-05-09 19:40:00,6,9.0,True,96.15
15,Michael Wacha,R,SDP,MIN,5.05,4.5,-104.0,0.51,0.569,0.0589999999999999,-122.0,0.55,0.431,-0.119,1,0,2023-05-09 19:40:00,4,6.0,False,-100.0
16,Louie Varland,R,MIN,SDP,5.24,4.5,-134.0,0.573,0.6,0.027,106.0,0.485,0.4,-0.0849999999999999,1,0,2023-05-09 19:40:00,6,6.0,True,74.63
18,Eric Lauer,L,MIL,LAD,5.77,5.5,118.0,0.459,0.517,0.0579999999999999,-150.0,0.6,0.483,-0.1169999999999999,1,0,2023-05-09 19:40:00,4,3.2,False,-100.0
24,Andrew Heaney,L,TEX,SEA,8.07,6.5,-130.0,0.565,0.694,0.129,104.0,0.49,0.305,-0.185,1,0,2023-05-09 21:40:00,7,6.2,True,76.92
5,Peyton Battenfield,R,CLE,DET,5.83,4.5,-138.0,0.58,0.691,0.111,108.0,0.481,0.309,-0.172,1,0,2023-05-10 13:10:00,4,6.0,False,-100.0
9,Merrill Kelly,R,ARI,MIA,5.6,5.5,130.0,0.435,0.488,0.053,-166.0,0.624,0.512,-0.112,1,0,2023-05-10 15:40:00,6,6.0,True,130.0
11,Josiah Gray,R,WAS,SFG,6.41,5.5,104.0,0.49,0.617,0.127,-132.0,0.569,0.383,-0.186,1,0,2023-05-10 15:45:00,3,7.0,False,-100.0
15,Cristian Javier,R,HOU,LAA,6.98,6.5,106.0,0.485,0.548,0.063,-134.0,0.573,0.452,-0.121,1,0,2023-05-10 16:07:00,11,6.0,True,106.0
19,Hunter Greene,R,BOS,ATL,7.05,5.5,-158.0,0.612,0.706,0.094,124.0,0.446,0.294,-0.152,1,0,2023-05-10 18:40:00,4,5.1,False,-100.0
24,Brad Keller,R,SDP,MIN,4.96,2.5,-182.0,0.645,0.872,0.227,142.0,0.413,0.128,-0.285,1,0,2023-05-10 19:40:00,4,5.0,True,54.95
25,Seth Lugo,R,MIN,SDP,17.41,5.5,112.0,0.472,0.776,0.304,-142.0,0.587,0.001,-0.586,1,0,2023-05-10 19:40:00,5,6.0,False,-100.0
0,Kodai Senga,R,NYM,CIN,6.4,5.5,122.0,0.45,0.617,0.167,-156.0,0.609,0.383,-0.226,1,0,2023-05-11 12:35:00,7,5.0,True,122.0
4,Brady Singer,R,TBR,NYY,5.7,4.5,118.0,0.459,0.672,0.213,-150.0,0.6,0.328,-0.272,1,0,2023-05-11 14:10:00,4,6.0,False,-100.0
7,Alex Cobb,R,ARI,SFG,6.21,4.5,-110.0,0.524,0.742,0.218,-116.0,0.537,0.258,-0.279,1,0,2023-05-11 21:40:00,3,7.1,False,-100.0
