,Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time,SO,IP,win,wager_return
1,Shane Bieber,R,CLE,DET,6.61,6.5,-134.0,0.573,0.49,-0.0829999999999999,106.0,0.485,0.51,0.025,0,1,2023-05-09 18:10:00,9,6.0,False,-100.0
3,Luis Ortiz,R,PIT,COL,4.38,4.5,-146.0,0.593,0.446,-0.1469999999999999,114.0,0.467,0.554,0.087,0,1,2023-05-09 18:35:00,1,5.0,True,114.0
9,Drew Rucinski,R,OAK,NYY,1.96,3.5,106.0,0.485,0.135,-0.35,-134.0,0.573,0.865,0.292,0,1,2023-05-09 19:05:00,2,5.0,True,74.63
12,Charlie Morton,R,ATL,BOS,5.58,5.5,-130.0,0.565,0.485,-0.0799999999999999,104.0,0.49,0.515,0.025,0,1,2023-05-09 19:20:00,7,6.0,False,-100.0
19,Jack Flaherty,R,STL,CHC,4.57,6.5,122.0,0.45,0.178,-0.272,-156.0,0.609,0.822,0.2129999999999999,0,1,2023-05-09 19:40:00,3,5.0,True,64.1
23,Brandon Pfaadt,R,ARI,MIA,3.13,4.5,112.0,0.472,0.207,-0.265,-142.0,0.587,0.793,0.206,0,1,2023-05-09 21:40:00,3,5.0,True,70.42
25,George Kirby,R,SEA,TEX,5.22,6.5,124.0,0.446,0.271,-0.175,-158.0,0.612,0.729,0.1169999999999999,0,1,2023-05-09 21:40:00,9,7.0,False,-100.0
27,Logan Webb,R,SFG,WAS,4.34,5.5,114.0,0.467,0.269,-0.198,-146.0,0.593,0.731,0.138,0,1,2023-05-09 21:45:00,7,7.0,False,-100.0
0,Kyle Muller,L,OAK,NYY,3.17,3.5,-154.0,0.606,0.391,-0.215,120.0,0.455,0.609,0.154,0,1,2023-05-10 12:35:00,6,4.0,False,-100.0
1,Jhony Brito,R,NYY,OAK,2.93,4.5,-116.0,0.537,0.174,-0.363,-110.0,0.524,0.826,0.302,0,1,2023-05-10 12:35:00,3,4.1,True,90.91
2,Antonio Senzatela,R,COL,PIT,2.71,3.5,108.0,0.481,0.287,-0.194,-136.0,0.576,0.713,0.137,0,1,2023-05-10 12:35:00,1,2.2,True,73.53
3,Rich Hill,L,PIT,COL,4.32,5.5,108.0,0.481,0.267,-0.214,-136.0,0.576,0.733,0.157,0,1,2023-05-10 12:35:00,4,3.2,True,73.53
