Miles Mikolas,4.27,4.5,10,8.0
Kodai Senga,4.63,5.5,9,7.0
Shane McClanahan,6.46,6.5,7,5.2
Zac Gallen,5.32,6.5,7,6.0
Ben Lively,5.41,3.5,6,5.2
Nestor Cortes,5.84,6.5,6,5.0
Brandon Bielak,4.34,4.5,6,5.2
Joe Ryan,6.84,6.5,6,4.0
Bryce Elder,5.27,5.5,5,7.1
Lucas Giolito,5.84,6.5,5,5.0
Ranger Suarez,4.88,4.5,4,6.2
Logan Gilbert,6.4,5.5,4,4.0
Alex Faedo,4.15,4.5,4,4.1
Yusei Kikuchi,4.47,5.5,4,5.0
Brayan Bello,4.57,5.5,4,4.0
Kyle Hendricks,4.3,3.5,3,5.0
Martin Perez,4.77,4.5,3,4.2
Kyle Gibson,4.31,3.5,3,5.2
Cal Quantrill,3.24,3.5,3,4.1
Sandy Alcantara,4.5,5.5,3,6.1
Tyler Anderson,4.41,4.5,3,4.0
JP Sears,4.74,4.5,2,6.0
Tony Gonsolin,4.79,4.5,2,6.0
Kyle Freeland,4.57,3.5,1,5.2Miles Mikolas,4.27,4.5,10,8.0
Kodai Senga,4.63,5.5,9,7.0
Shane McClanahan,6.46,6.5,7,5.2
Zac Gallen,5.32,6.5,7,6.0
Ben Lively,5.41,3.5,6,5.2
Nestor Cortes,5.84,6.5,6,5.0
Brandon Bielak,4.34,4.5,6,5.2
Joe Ryan,6.84,6.5,6,4.0
Bryce Elder,5.27,5.5,5,7.1
Lucas Giolito,5.84,6.5,5,5.0
Ranger Suarez,4.88,4.5,4,6.2
Logan Gilbert,6.4,5.5,4,4.0
Alex Faedo,4.15,4.5,4,4.1
Yusei Kikuchi,4.47,5.5,4,5.0
Brayan Bello,4.57,5.5,4,4.0
Kyle Hendricks,4.3,3.5,3,5.0
Martin Perez,4.77,4.5,3,4.2
Kyle Gibson,4.31,3.5,3,5.2
Cal Quantrill,3.24,3.5,3,4.1
Sandy Alcantara,4.5,5.5,3,6.1
Tyler Anderson,4.41,4.5,3,4.0
JP Sears,4.74,4.5,2,6.0
Tony Gonsolin,4.79,4.5,2,6.0
Kyle Freeland,4.57,3.5,1,5.2
Mitch Keller,5.66,6.5,8,6.0
Hunter Brown,5.38,7.5,8,4.2
James Paxton,6.18,5.5,8,5.0
George Kirby,5.82,5.5,7,8.0
Clarke Schmidt,4.95,5.5,7,5.2
Blake Snell,6.59,5.5,7,6.0
Braxton Garrett,4.84,4.5,7,5.1
Tommy Henry,3.55,4.5,7,7.0
Dane Dunning,5.0,4.5,6,5.0
Louie Varland,5.77,4.5,5,7.0
Aaron Nola,7.08,5.5,5,6.0
Luke Weaver,5.21,3.5,5,5.2
Joey Wentz,3.82,4.5,5,4.1
Zach Eflin,5.17,5.5,5,6.0
Lance Lynn,6.06,6.5,4,4.0
Carlos Carrasco,4.22,4.5,4,6.0
Alex Wood,5.78,4.5,4,4.1
James Kaprielian,4.78,4.5,4,4.2
Noah Syndergaard,3.75,3.5,2,5.0
Alek Manoah,4.93,5.5,2,4.0
Patrick Corbin,3.12,4.5,2,5.0
Justin Steele,5.76,4.5,1,3.0
Jared Shuster,4.85,4.5,1,5.1
Julio Teheran,5.22,3.5,0,6.0
Kevin Gausman,6.37,7.5,13,7.0
Zach Eflin,5.19,5.5,9,6.2
James Paxton,6.48,5.5,9,7.0
Freddy Peralta,5.42,5.5,9,5.0
Jesus Luzardo,6.11,7.5,8,7.0
Bryce Elder,5.14,4.5,8,6.0
Joe Musgrove,6.19,6.5,8,5.0
Taijuan Walker,4.41,4.5,8,7.0
Kyle Gibson,4.26,4.5,7,5.0
Logan Gilbert,6.47,5.5,6,7.0
Louie Varland,5.84,4.5,5,6.0
Tyler Anderson,4.43,4.5,5,5.0
Tony Gonsolin,4.61,4.5,5,5.0
Hunter Brown,7.33,5.5,5,6.0
Carlos Carrasco,4.27,4.5,4,5.0
Hayden Wesneski,5.71,4.5,4,4.2
Luke Weaver,5.09,4.5,4,3.2
Zack Greinke,3.44,3.5,3,4.1
Shane Bieber,4.92,5.5,2,5.2
Tommy Henry,3.72,3.5,2,4.1
Matthew Liberatore,4.03,3.5,2,4.0
Mitch Keller,5.79,6.5,1,5.1
James Kaprielian,4.77,4.5,1,6.0
Dane Dunning,5.01,4.5,1,5.2
Jake Irvin,4.95,3.5,1,4.0
Clayton Kershaw,6.43,7.5,9,7.0
Reid Detmers,5.09,6.5,8,5.2
Colin Rea,4.63,4.5,8,5.0
Spencer Strider,9.86,8.5,8,4.0
Alex Cobb,6.04,4.5,7,5.0
Chase Anderson,3.09,3.5,7,5.1
Luis Severino,5.62,5.5,6,5.0
Framber Valdez,3.75,5.5,5,5.0
Drew Smyly,4.86,4.5,4,6.0
Lance Lynn,5.99,5.5,4,5.0
Justin Verlander,5.56,5.5,3,3.0
Jose Berrios,4.41,4.5,2,6.0
Graham Ashcraft,4.05,3.5,1,2.2
Luis Castillo,7.61,6.5,10,6.0
Ranger Suarez,4.93,4.5,8,6.0
Ben Lively,4.95,4.5,8,6.2
Dylan Cease,6.63,5.5,7,6.0
Shohei Ohtani,8.04,7.5,6,5.0
Garrett Whitlock,4.21,4.5,6,6.1
Yu Darvish,6.79,5.5,6,5.1
Jordan Montgomery,4.85,5.5,6,6.0
Eury Perez,5.17,5.5,6,5.0
Tyler Glasnow,5.93,7.5,6,6.0
Rich Hill,4.15,4.5,6,7.0
Gerrit Cole,7.29,7.5,6,6.0
Sonny Gray,6.1,4.5,5,5.0
Andrew Heaney,6.15,4.5,5,5.0
Merrill Kelly,4.76,6.5,5,6.1
