Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time
Andrew Heaney,L,TEX,BAL,6.81,5.5,-122,0.55,0.674,0.124,-106,0.515,0.326,-0.189,1,0,2023-05-27 16:05:00
Clayton Kershaw,L,LAD,TBR,7.07,6.5,100,0.5,0.561,0.061,-128,0.561,0.439,-0.122,1,0,2023-05-27 16:10:00
Brandon Williamson,L,CIN,CHC,5.16,4.5,114,0.467,0.586,0.119,-144,0.59,0.414,-0.176,1,0,2023-05-27 19:15:00
Michael Wacha,R,SDP,NYY,4.99,4.5,106,0.485,0.558,0.073,-134,0.573,0.442,-0.131,1,0,2023-05-27 13:05:00
Luis Severino,R,NYY,SDP,5.82,5.5,-128,0.561,0.525,-0.036,100,0.5,0.475,-0.025,0,0,2023-05-27 13:05:00
Jesse Scholtens,R,CHW,DET,5.16,4.5,-102,0.505,0.586,0.081,-124,0.554,0.414,-0.14,1,0,2023-05-27 13:10:00
Michael Lorenzen,R,DET,CHW,4.75,4.5,-168,0.627,0.515,-0.112,130,0.435,0.485,0.05,0,1,2023-05-27 13:10:00
Chris Bassitt,R,TOR,MIN,5.07,5.5,-110,0.524,0.396,-0.128,-116,0.537,0.604,0.067,0,1,2023-05-27 14:10:00
Pablo Lopez,R,MIN,TOR,6.71,6.5,-106,0.515,0.506,-0.009,-118,0.541,0.494,-0.047,0,0,2023-05-27 14:10:00
Dean Kremer,R,BAL,TEX,4.04,5.5,130,0.435,0.222,-0.213,-166,0.624,0.778,0.154,0,1,2023-05-27 16:05:00
Tyler Glasnow,R,TBR,LAD,4.84,6.5,106,0.485,0.215,-0.27,-134,0.573,0.785,0.212,0,1,2023-05-27 16:10:00
Zack Wheeler,R,PHI,ATL,6.28,6.5,100,0.5,0.439,-0.061,-128,0.561,0.561,0.0,0,0,2023-05-27 16:10:00
Charlie Morton,R,ATL,PHI,6.55,6.5,-128,0.561,0.481,-0.08,100,0.5,0.519,0.019,0,0,2023-05-27 16:10:00
Josiah Gray,R,WAS,KCR,4.53,4.5,-130,0.565,0.473,-0.092,102,0.495,0.527,0.032,0,1,2023-05-27 16:10:00
Brady Singer,R,KCR,WAS,6.25,4.5,122,0.45,0.747,0.297,-156,0.609,0.253,-0.356,1,0,2023-05-27 16:10:00
Luis Castillo,R,SEA,PIT,7.39,7.5,112,0.472,0.459,-0.013,-144,0.59,0.54,-0.05,0,0,2023-05-27 16:10:00
Logan Webb,R,SFG,MIL,5.99,5.5,-116,0.537,0.553,0.016,-112,0.528,0.447,-0.081,0,0,2023-05-27 16:10:00
Corbin Burnes,R,MIL,SFG,6.99,7.5,114,0.467,0.4,-0.067,-144,0.59,0.6,0.01,0,0,2023-05-27 16:10:00
Garrett Whitlock,R,BOS,ARI,4.09,3.5,-160,0.615,0.584,-0.031,126,0.442,0.416,-0.026,0,0,2023-05-27 19:15:00
Zach Davies,R,ARI,BOS,3.17,3.5,100,0.5,0.391,-0.109,-128,0.561,0.609,0.048,0,1,2023-05-27 19:15:00
Jameson Taillon,R,CHC,CIN,4.65,4.5,-112,0.528,0.496,-0.032,-112,0.528,0.504,-0.024,0,0,2023-05-27 19:15:00
Jack Flaherty,R,STL,CLE,4.44,4.5,-122,0.55,0.457,-0.093,-104,0.51,0.543,0.033,0,1,2023-05-27 19:15:00
Tanner Bibee,R,CLE,STL,5.16,4.5,-154,0.606,0.586,-0.02,122,0.45,0.414,-0.036,0,0,2023-05-27 19:15:00
Justin Verlander,R,NYM,COL,5.54,5.5,106,0.485,0.479,-0.006,-134,0.573,0.521,-0.052,0,0,2023-05-27 21:10:00
