Name,Handedness,Team,Opponent,xK,prop_k,under,under_odds,x_under,under_diff,bet_under,commence_time
Joey Wentz,L,DET,CHW,3.6,4.5,-128,0.561,0.707,0.146,1,2023-05-26 18:40:00
Reid Detmers,L,LAA,MIA,5.3,5.5,126,0.442,0.564,0.122,1,2023-05-26 21:38:00
Chris Sale,L,BOS,ARI,5.46,6.5,-142,0.587,0.692,0.105,1,2023-05-26 21:40:00
Freddy Peralta,R,MIL,SFG,6.12,6.5,-106,0.515,0.586,0.071,1,2023-05-26 20:10:00
George Kirby,R,SEA,PIT,5.15,5.5,-110,0.524,0.59,0.066,1,2023-05-26 22:10:00
James Kaprielian,R,OAK,HOU,3.92,4.5,-140,0.583,0.645,0.062,1,2023-05-26 21:40:00
Matthew Liberatore,L,STL,CLE,3.73,4.5,-166,0.624,0.681,0.057,1,2023-05-26 19:10:00
Mitch Keller,R,PIT,SEA,6.16,6.5,-110,0.524,0.581,0.057,1,2023-05-26 22:10:00
Louie Varland,R,MIN,TOR,4.67,4.5,124,0.446,0.501,0.055,1,2023-05-26 20:10:00
Hunter Greene,R,CIN,CHC,7.1,7.5,-122,0.55,0.584,0.034,1,2023-05-26 14:20:00
