Name,Handedness,Team,Opponent,xK,Poisson_0,Poisson_1,Poisson_2,Poisson_3,Poisson_4,Poisson_5,Poisson_6,Poisson_7,Poisson_8,Poisson_9,Poisson_10,Poisson_11,Poisson_12,Poisson_13,Poisson_14,Poisson_15,Poisson_16,Poisson_17,Poisson_18,Poisson_19,Poisson_20,over,under,prop_k,commence_time,x_under,x_over
Jordan Montgomery,L,STL,SFG,4.81,0.00813912017564709,0.03915790287814452,0.09419576838305456,0.1510609120017733,0.18169127599774906,0.1748260054106,0.1401834512966462,0.09634754920038752,0.057941888876153536,0.030973629803069256,0.014901639998401424,0.006517534609390769,0.0026130280027388416,0.0009670360747842841,0.00033232009531804576,0.00010658775343519778,3.2050092692322743e-05,9.070314219527877e-06,2.4243303099219026e-06,6.138752926850821e-07,1.47669948173138e-07,110,-140,5.5,2023-06-14 13:15:00,0.649,0.351
Austin Gomber,L,COL,BOS,5.26,0.0051801541254328405,0.027262739180397025,0.0717408140396064,0.12585539956224936,0.1655917396291543,0.17429923120523486,0.15288716527956508,0.11494757023273373,0.07561999003295906,0.04422022149175861,0.023272750884192426,0.011134785182110377,0.004883457404597647,0.0019770190719358757,0.00074320672440768,0.00026076252551592027,8.577327707127035e-05,2.6553996212324074e-05,7.763976122507442e-06,2.1505888872417333e-06,5.659189137758781e-07,112,-142,3.5,2023-06-14 19:10:00,0.23,0.77
Reid Detmers,L,LAA,TEX,5.12,0.005981058367839221,0.030617981249622443,0.07836913788060125,0.13372799297415958,0.1711436726419907,0.17522229136302755,0.1494984249029953,0.10932943132465463,0.06995932560050173,0.03979253591991947,0.02037042683318905,0.009479948021165335,0.004044112442264089,0.0015924961168232948,0.0005823027732632751,0.00019872664999945095,6.358206680653131e-05,1.9146272326517845e-05,5.445154900693173e-06,1.4670845719351768e-06,3.755118672362113e-07,-132,104,5.5,2023-06-14 20:05:00,0.595,0.405
Andrew Heaney,L,TEX,LAA,6.19,0.0020439428251915037,0.0126578815631636,0.03919433647858164,0.08090853667366917,0.1252641049986599,0.15514897830277322,0.16013636061618144,0.14167205669168695,0.10966965980599022,0.07546338314508516,0.04673352671284381,0.026310442688127662,0.013578105973908586,0.006468269793652995,0.002861227398254394,0.0011812814946357297,0.0004572205086771134,0.000166559368541623,5.730451551912914e-05,1.8677877759120506e-05,5.7834877182546565e-06,-154,120,5.5,2023-06-14 20:05:00,0.415,0.585
Framber Valdez,L,HOU,WAS,5.08,0.006190457889091851,0.03147690736792113,0.0800260429195843,0.135637373149176,0.17242040519199375,0.17534280080092762,0.14859560733969995,0.10793870758860287,0.06860511696086358,0.038759956591107286,0.019708454286600577,0.009110226226154938,0.003860265699230222,0.0015098824178858476,0.0005483834943545174,0.00018589272676485156,5.90760837645191e-05,1.7669817280559946e-05,4.991474259551224e-06,1.3358094677166863e-06,3.3961260725641163e-07,112,-142,6.5,2023-06-14 20:10:00,0.75,0.25
Daniel Lynch,L,KCR,CIN,4.91,0.007366316859204556,0.03617478466708293,0.08882424356173615,0.14540047378165166,0.17850952280754398,0.1753262497938202,0.14349978544237976,0.1006720171087983,0.061797988915605076,0.03371998644655692,0.016559337210113868,0.007392746658447918,0.003025381426240201,0.001142858184206797,0.0004008850547013348,0.00013124542252936682,4.028280846865483e-05,1.1636607307938183e-05,3.174749272532526e-06,8.20561979337047e-07,2.014823247212205e-07,-128,102,4.5,2023-06-14 20:10:00,0.456,0.544
Ranger Suarez,L,PHI,ARI,5.02,0.006572986573877137,0.03302785730565201,0.08297897355654184,0.1389838884344654,0.1745911079919689,0.17545662498419137,0.14693869390463313,0.10547651926595916,0.06624962998665615,0.0369878086308855,0.018585585894313788,0.008489873624971101,0.003554983865616499,0.0013740797395967303,0.0004931755696038907,0.00016520681181414078,5.188306473388843e-05,1.5335373397581035e-05,4.280943581323761e-06,1.1321489229827627e-06,2.8444035794649393e-07,-156,122,3.5,2023-06-14 21:40:00,0.262,0.738
Clayton Kershaw,L,LAD,CHW,6.74,0.0011835837739441052,0.007976417648267672,0.026877370195597425,0.06037739918563388,0.10172396813449729,0.13710780302031095,0.15399967508314022,0.14826227081348684,0.12489629161906567,0.09352245899321529,0.06302673362418879,0.0386136626635673,0.021685459809601234,0.011241756288367913,0.005411466986360182,0.002431266898789578,0.0010240508860713542,0.0004059583693387061,0.00015199100172336941,5.391047512750738e-05,1.8165696197430858e-05,108,-136,7.5,2023-06-14 22:10:00,0.638,0.362
Spencer Strider,R,ATL,DET,9.67,6.310039094066309e-05,0.0006102302254122179,0.0029507022258928417,0.009511867557863138,0.022996803179017627,0.044479421374389545,0.07169180974124911,0.09904513962690592,0.11973051390709069,0.1286542099397525,0.12441870226381337,0.10938421313620152,0.08815258780965254,0.0655772769121554,0.0452988324019083,0.029205013677882176,0.01765221044408806,0.010041806302379757,0.005395118646209127,0.0027460539413320653,0.0013278246700475776,-150,118,8.5,2023-06-14 13:10:00,0.371,0.628
Colin Rea,R,MIL,MIN,5.14,0.0058461389636115055,0.03006069362676079,0.07728565014846499,0.13246693047148114,0.17028537284891493,0.17512058656805235,0.15007757921731044,0.11024214094069619,0.07085777562344384,0.040483203194226214,0.020816357185935785,0.009730651284806133,0.0041695628642267665,0.001649214090756857,0.0006057296938783101,0.00020764308274395319,6.673095624451823e-05,2.0184048908913237e-05,5.765880639579286e-06,1.5604214433681882e-06,4.0118231220372484e-07,-106,-118,4.5,2023-06-14 13:10:00,0.416,0.584
