Name,xK,prop_k,SO,IP
Dane Dunning,4.54,4.5,11,7.2
Gerrit Cole,7.29,7.5,8,7.0
Brandon Williamson,3.89,3.5,7,4.1
Drew Smyly,4.89,5.5,7,4.2
Kodai Senga,6.34,6.5,6,5.2
Kyle Freeland,4.53,3.5,6,6.0
Grayson Rodriguez,5.6,4.5,6,5.2
Braxton Garrett,4.93,5.5,5,5.0
Logan Webb,6.13,5.5,5,7.0
MacKenzie Gore,4.85,5.5,5,6.0
Yonny Chirinos,2.62,3.5,5,5.0
Wade Miley,4.14,3.5,5,4.0
Kutter Crawford,5.99,5.5,5,5.0
Logan Gilbert,6.41,5.5,5,6.0
Eduardo Rodriguez,4.83,5.5,5,6.0
Joe Ryan,7.57,5.5,4,4.0
Zack Wheeler,6.73,7.5,4,6.0
Osvaldo Bido,4.89,4.5,3,3.0
Yusei Kikuchi,4.88,6.5,3,6.0
Shane McClanahan,6.58,6.5,3,4.0
Tony Gonsolin,4.55,5.5,3,5.0
Lucas Giolito,6.44,5.5,2,3.2
Hogan Harris,4.54,3.5,2,3.0
Dylan Cease,7.01,6.5,1,1.2
